CAMPAIGN,SUBCAMPAING,PHYS_GROUP,PROJECT,STEP,REQUEST,STATUS,TASK_ID,TASKNAME,HASHTAG_LIST,TAG_NAME,TRF_NAME,TRF_RELEASE
mc16,mc16a,EGAM,mc16_13TeV,Reco,11031,finished,10728458,mc16_13TeV.423001.ParticleGun_single_photon_egammaET.recon.e3566_s3007_r9117,"ParticleGun,egamma,mc16campaign,photon,singleParticle",r9117,Reco_tf.py,21.0.16
mc16,mc16a,EGAM,mc16_13TeV,Rec Merge,11031,finished,10730728,mc16_13TeV.423001.ParticleGun_single_photon_egammaET.merge.e3566_s3007_r9117_r9128,"ParticleGun,egamma,mc16campaign,photon,singleParticle",r9128,AODMerge_tf.py,21.0.16
mc16,mc16a,IDTR,mc16_13TeV,Reco,11000,done,10730575,mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.e3698_s2995_r9121,"PowhegPythiaEvtGen,SM,lepton,mc16campaign,top,ttbar",r9121,Reco_tf.py,21.0.11
mc16,mc16a,IDTR,mc16_13TeV,Reco,11131,aborted,10844224,mc16_13TeV.361022.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ2W.recon.e3668_s2997_r9186,"Pythia8EvtGen,QCD,SM,jets,mc16campaign",r9186,Reco_tf.py,21.0.11
mc16,mc16a,IDTR,mc16_13TeV,Reco,11133,done,10803456,mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.e3698_s2995_r9165,"PowhegPythiaEvtGen,SM,lepton,mc16campaign,top,ttbar",r9165,Reco_tf.py,21.0.11
mc16,mc16a,IDTR,mc16_13TeV,Reco,11133,done,10803464,mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.e3698_s2995_r9166,"PowhegPythiaEvtGen,SM,lepton,mc16campaign,top,ttbar",r9166,Reco_tf.py,21.0.11
mc16,mc16a,IDTR,mc16_13TeV,Reco,11133,done,10803471,mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.e3698_s2995_r9167,"PowhegPythiaEvtGen,SM,lepton,mc16campaign,top,ttbar",r9167,Reco_tf.py,21.0.11
mc16,mc16a,IDTR,mc16_13TeV,Reco,11133,done,10803477,mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.e3698_s2995_r9168,"PowhegPythiaEvtGen,SM,lepton,mc16campaign,top,ttbar",r9168,Reco_tf.py,21.0.11
mc16,mc16a,IDTR,mc16_13TeV,Reco,11133,done,10803482,mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.e3698_s2995_r9169,"PowhegPythiaEvtGen,SM,lepton,mc16campaign,top,ttbar",r9169,Reco_tf.py,21.0.11
mc16,mc16a,IDTR,mc16_13TeV,Reco,11133,done,10803489,mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.e3698_s2995_r9170,"PowhegPythiaEvtGen,SM,lepton,mc16campaign,top,ttbar",r9170,Reco_tf.py,21.0.11
