CAMPAIGN,SUBCAMPAING,PHYS_GROUP,PROJECT,STEP,REQUEST,STATUS,TASK_ID,TASKNAME,HASHTAG_LIST,EVENTS_TOTAL,T_EVENTS_REQUESTED,T_STAMP
mc16,mc16a,EGAM,mc16_13TeV,Reco,11031,finished,10728431,mc16_13TeV.423000.ParticleGun_single_electron_egammaET.recon.e3566_s3007_r9117,"ParticleGun,egamma,electron,mc16campaign,singleParticle",39895000,39975000,2017-06-28 09:14:04.757884
mc16,mc16a,EGAM,mc16_13TeV,Reco,11031,finished,10728458,mc16_13TeV.423001.ParticleGun_single_photon_egammaET.recon.e3566_s3007_r9117,"ParticleGun,egamma,mc16campaign,photon,singleParticle",38793000,39965000,2017-06-28 09:14:04.759156
mc16,mc16a,EGAM,mc16_13TeV,Rec Merge,11031,finished,10730725,mc16_13TeV.423000.ParticleGun_single_electron_egammaET.merge.e3566_s3007_r9117_r9128,"ParticleGun,egamma,electron,mc16campaign,singleParticle",39895000,0,2017-06-28 09:14:05.081991
mc16,mc16a,EGAM,mc16_13TeV,Rec Merge,11031,finished,10730728,mc16_13TeV.423001.ParticleGun_single_photon_egammaET.merge.e3566_s3007_r9117_r9128,"ParticleGun,egamma,mc16campaign,photon,singleParticle",38793000,0,2017-06-28 09:14:05.083244
mc16,mc16a,IDTR,mc16_13TeV,Reco,11000,done,10730575,mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.e3698_s2995_r9121,"PowhegPythiaEvtGen,SM,lepton,mc16campaign,top,ttbar",20000,20000,2017-02-20 02:15:46.689683
mc16,mc16a,IDTR,mc16_13TeV,Reco,11000,done,10746481,mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.e3698_s2995_r9125,"PowhegPythiaEvtGen,SM,lepton,mc16campaign,top,ttbar",20000,20000,2017-02-20 15:34:55.567046
mc16,mc16a,IDTR,mc16_13TeV,Reco,11000,done,10746488,mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.e3698_s2995_r9126,"PowhegPythiaEvtGen,SM,lepton,mc16campaign,top,ttbar",20000,20000,2017-02-24 16:18:16.165109
mc16,mc16a,IDTR,mc16_13TeV,Reco,11000,done,10746497,mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.e3698_s2995_r9127,"PowhegPythiaEvtGen,SM,lepton,mc16campaign,top,ttbar",20000,20000,2017-02-26 15:14:35.727792
mc16,mc16a,IDTR,mc16_13TeV,Reco,11131,done,10863228,mc16_13TeV.361022.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ2W.recon.e3668_s2997_r9186,"Pythia8EvtGen,QCD,SM,jets,mc16campaign",200000,200000,2017-06-29 13:15:18.862420
mc16,mc16a,IDTR,mc16_13TeV,Reco,11131,done,10863241,mc16_13TeV.361023.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ3W.recon.e3668_s2997_r9186,"Pythia8EvtGen,QCD,SM,jets,mc16campaign",500000,500000,2017-06-29 13:15:18.862908
