PR_ID,DESCRIPTION,REFERENCE_LINK,PHYS_GROUP,ENERGY_GEV,PROJECT
9589,Combined egamma+JetETmiss priority 0+ request : re-simulation pf Pythia photon-jet samples for mc16 pre-production,https://its.cern.ch/jira/browse/ATLMCPROD-3800,EGAM,13000,mc16_13TeV
9330,[Validation priority]  MC16 NN Training/Validation,https://its.cern.ch/jira/browse/ATLMCPROD-3666,IDTR,13000,mc16_valid
9351,Minimum Bias Production for MC16 Validation,https://its.cern.ch/jira/browse/ATLMCPROD-3665,SIMU,13000,mc16_valid
9473,Priority 0+ simulation of Z->ee events with mc16a,https://its.cern.ch/jira/browse/ATLMCPROD-3735,EGAM,13000,mc16_13TeV
9541,MC16a PowhegZmumu,https://its.cern.ch/jira/browse/ATLMCPROD-3770,JETM,13000,mc16_13TeV
9466,MC16 HITS productions for ttbar and Zprime samples,https://its.cern.ch/jira/browse/ATLMCPROD-3729,FTAG,13000,mc16_13TeV
9484,tauCP priority 0+ request : mc16a simulation of Z->tau tau and DY-> tautau events ,https://its.cern.ch/jira/browse/ATLMCPROD-3737,TAUP,13000,mc16_13TeV
9474,Priority 0+ simulation of single-particles,https://its.cern.ch/jira/browse/ATLMCPROD-3736,EGAM,13000,mc16_13TeV
9388,Priority 0+ econstruction of mc16 single particles for MVA calibration and tuning of converted photons,https://its.cern.ch/jira/browse/ATLMCPROD-3684,EGAM,13000,mc16_13TeV
8786,Single Particle Samples for MC16 Pre-Production,https://its.cern.ch/jira/browse/ATLMCPROD-3337,SIMU,13000,mc16_13TeV
9485,tauCP priority 0+ request : mc16a simulation of DY-> ee events ,https://its.cern.ch/jira/browse/ATLMCPROD-3744,TAUP,13000,mc16_13TeV
10623,"Updated Minbias samples for MC16, 21.0.14",https://its.cern.ch/jira/browse/ATLPHYSVAL-505,MCGN,13000,mc16_13TeV
9760,Single 50 GeV neutrino ATLFASTII sample for pileup on the fly tests,https://its.cern.ch/jira/browse/ATLMCPROD-3610,SIMU,13000,mc16_valid
10662,tauCP priority 0+ request : mc16a re-reconstruction of Z->tau tau and DY-> tautau events,https://its.cern.ch/jira/browse/ATLMCPROD-4265,TAUP,13000,mc16_13TeV
10398,Digi+Reco sample T,https://its.cern.ch/jira/browse/ATLMCPROD-3986,TRIG,13000,mc16_13TeV
10663,tauCP priority 0+ request : mc16a re-reconstruction of Z->ee and DY-> ee events,https://its.cern.ch/jira/browse/ATLMCPROD-4266,TAUP,13000,mc16_13TeV
11049,MC16a sheet 3,,MCGN,13000,mc16_13TeV
11050,MC16a sheet 4,,MCGN,13000,mc16_13TeV
11051,MC16a sheet 5,,MCGN,13000,mc16_13TeV
11198,MC16a sheet 7,,MCGN,13000,mc16_13TeV
10672,Priority 0+ re-reconstruction of single-particles with 21.0.14,https://its.cern.ch/jira/browse/ATLMCPROD-3736,EGAM,13000,mc16_13TeV
11222,MC16a sheet 9,,MCGN,13000,mc16_13TeV
10907,Samples T to test new Higgsino triggers,https://its.cern.ch/jira/browse/ATLMCPROD-4315,TRIG,13000,mc16_13TeV
10664,tauCP priority 0+ request : mc16a re-reconstruction of gamma*->tautau training sample,https://its.cern.ch/jira/browse/ATLMCPROD-4267,TAUP,13000,mc16_13TeV
